data_id,vehicle_id,driving_vehicle_speed,nearby_vehicle_speed,nearby_vehicle_distance,latitude,longitude,is_rash,datetime
1,1,66.61,60.35,0.64,12.92088,80.1784,1,2023-02-1 20:40:00
2,1,2.03,59.15,0.5,12.98433,80.12317,0,2023-02-1 20:40:00
3,1,26.6,3.6,0.97,13.06231,80.25057,1,2023-02-1 20:40:00
4,1,24.47,8.25,0.47,13.03403,80.2291,1,2023-02-1 20:40:00
5,1,45.17,19.93,0.99,13.08451,80.14674,1,2023-02-1 20:40:00
6,1,12.46,56.36,1.65,13.09508,80.17761,0,2023-02-1 20:40:00
7,1,48.36,54.76,0.53,12.94952,80.12419,1,2023-02-1 20:40:00
8,1,15.1,71.06,0.38,13.01614,80.23484,0,2023-02-1 20:40:00
9,1,46.08,59.23,0.72,13.07062,80.16289,0,2023-02-1 20:40:00
10,1,11.69,26.92,1.95,12.9501,80.16732,0,2023-02-1 20:40:00
11,1,66.89,57.36,1.49,13.09168,80.24874,1,2023-02-1 20:40:00
12,1,64.12,65.5,1.12,13.08465,80.1379,0,2023-02-1 20:40:00
13,1,61.07,61.92,1.14,13.05486,80.21404,0,2023-02-1 20:40:00
14,1,5.75,7.14,0.25,13.0003,80.128,1,2023-02-1 20:40:00
15,1,30.31,71.82,1.66,13.01494,80.23138,1,2023-02-1 20:40:00
16,1,50.47,12.93,1.9,12.95097,80.12756,1,2023-02-1 20:40:00
17,1,12.53,50.05,0.04,13.06806,80.24216,0,2023-02-1 20:40:00
18,1,43.45,16.56,0.15,13.01619,80.21851,1,2023-02-1 20:40:00
19,1,7.39,32.96,0.58,12.98034,80.17275,0,2023-02-1 20:40:00
20,1,45.23,15.15,1.62,13.10048,80.15209,1,2023-02-1 20:40:00
21,1,72.31,62.51,1.14,12.92983,80.16448,0,2023-02-1 20:40:00
22,1,20.92,41.64,1.81,13.00407,80.19221,0,2023-02-1 20:40:00
23,1,6.14,32.44,1.4,12.96711,80.2408,0,2023-02-1 20:40:00
24,1,12.55,42.66,1.32,12.95656,80.17978,0,2023-02-1 20:40:00
25,1,73.94,26.85,1.47,12.95062,80.22406,1,2023-02-1 20:40:00
26,1,44.56,26.99,0.44,12.98334,80.15015,1,2023-02-1 20:40:00
27,1,70.2,32.26,0.78,13.03272,80.19034,0,2023-02-1 20:40:00
28,1,39.25,65.92,0.57,12.8966,80.25224,1,2023-02-1 20:40:00
29,1,48.84,72.95,0.41,13.0964,80.22004,1,2023-02-1 20:40:00
30,1,60.79,13.71,1.37,12.89692,80.1718,1,2023-02-1 20:40:00
31,1,14.26,24.97,0.63,13.06371,80.23802,0,2023-02-1 20:40:00
32,1,5.87,14.1,1.77,13.0851,80.14054,0,2023-02-1 20:40:00
33,1,19.73,41.36,0.49,12.89687,80.15543,0,2023-02-1 20:40:00
34,1,64.78,2.84,0.08,13.07627,80.15645,1,2023-02-1 20:40:00
35,1,24.43,11.19,1.35,12.94828,80.15919,1,2023-02-1 20:40:00
36,1,45.47,19.48,1.68,13.10439,80.18154,1,2023-02-1 20:40:00
37,1,42.42,45.31,1.9,12.88864,80.25347,1,2023-02-1 20:40:00
38,1,24.68,57.88,0.91,13.1137,80.21149,0,2023-02-1 20:40:00
39,1,38.12,9.54,1.21,12.9144,80.15272,1,2023-02-1 20:40:00
40,1,1.67,59.67,1.76,12.90616,80.13589,0,2023-02-1 20:40:00
41,1,52.5,30.38,1.27,12.98766,80.13198,0,2023-02-1 20:40:00
42,1,5.6,13.87,1.5,13.04887,80.19415,0,2023-02-1 20:40:00
43,1,48.61,73.07,1.28,12.98322,80.15823,0,2023-02-1 20:40:00
44,1,38.17,39.19,0.0,12.97029,80.22497,1,2023-02-1 20:40:00
45,1,0.1,15.07,0.21,13.05268,80.18431,0,2023-02-1 20:40:00
46,1,51.62,54.7,1.2,12.90018,80.14667,0,2023-02-1 20:40:00
47,1,65.35,65.05,1.74,13.08292,80.13776,1,2023-02-1 20:40:00
48,1,38.2,20.08,1.98,13.05204,80.21269,1,2023-02-1 20:40:00
49,1,24.81,45.82,1.3,12.92593,80.24573,0,2023-02-1 20:40:00
50,1,73.21,74.32,0.71,13.05743,80.21893,1,2023-02-1 20:40:00
51,1,39.81,44.53,1.79,13.06679,80.24257,1,2023-02-1 20:40:00
52,1,8.19,63.1,0.74,12.89552,80.13946,0,2023-02-1 20:40:00
53,1,73.4,7.26,1.3,12.88953,80.13916,1,2023-02-1 20:40:00
54,1,16.45,73.94,0.91,12.94585,80.18135,0,2023-02-1 20:40:00
55,1,10.71,26.72,0.24,12.90631,80.22097,0,2023-02-1 20:40:00
56,1,34.02,62.61,1.11,12.95909,80.12497,0,2023-02-1 20:40:00
57,1,37.63,24.69,1.1,12.97911,80.16136,1,2023-02-1 20:40:00
58,1,78.4,2.79,1.03,13.02049,80.18968,1,2023-02-1 20:40:00
59,1,12.55,32.2,1.9,13.11429,80.12551,0,2023-02-1 20:40:00
60,1,79.55,17.31,0.88,12.89884,80.17315,1,2023-02-1 20:40:00
61,1,14.29,51.73,1.67,13.05624,80.13734,0,2023-02-1 20:40:00
62,1,13.56,58.6,0.92,12.92803,80.13294,0,2023-02-1 20:40:00
63,1,57.85,65.96,1.88,13.03127,80.24756,1,2023-02-1 20:40:00
64,1,16.46,74.35,0.54,12.99261,80.22221,0,2023-02-1 20:40:00
65,1,52.1,58.94,1.81,13.08583,80.15675,1,2023-02-1 20:40:00
66,1,33.1,29.37,0.56,13.09198,80.20788,1,2023-02-1 20:40:00
67,1,14.88,7.86,0.42,12.92314,80.13315,1,2023-02-1 20:40:00
68,1,45.35,58.09,1.98,12.93701,80.23436,1,2023-02-1 20:40:00
69,1,45.3,68.64,0.64,13.06322,80.15402,1,2023-02-1 20:40:00
70,1,58.53,75.9,1.33,12.88822,80.2483,0,2023-02-1 20:40:00
71,1,39.95,52.96,0.51,13.10442,80.24912,1,2023-02-1 20:40:00
72,1,42.17,76.15,0.35,12.96616,80.24511,1,2023-02-1 20:40:00
73,1,16.83,46.25,0.21,12.89968,80.23438,0,2023-02-1 20:40:00
74,1,29.22,8.14,1.95,13.06103,80.24046,1,2023-02-1 20:40:00
75,1,69.56,21.41,0.97,13.03026,80.13738,1,2023-02-1 20:40:00
76,1,71.0,22.21,0.71,13.11059,80.13392,1,2023-02-1 20:40:00
77,1,12.25,6.37,0.56,13.10136,80.23507,1,2023-02-1 20:40:00
78,1,11.03,27.52,0.73,12.90235,80.13292,0,2023-02-1 20:40:00
